u,rho,P,T,h,gamma,mu,k
-159530.201342282,486.88255033557,13652.5331939548,74.5960379143843,-159502.160630648,3923193338.72004,2.08430671386169e-05,0.106026705512899
-159530.201342282,495.268456375839,13659.0329803603,74.599048373823,-159502.622293375,4146685880.90035,2.14566663063293e-05,0.109649791807158
-159530.201342282,503.654362416107,13665.3239218531,74.6019609942247,-159503.068997281,4341252898.94525,2.2080125213019e-05,0.113216772907424
-159530.201342282,512.040268456376,13671.4159265491,74.6047804699964,-159503.501457978,4501762682.86135,2.27135165960024e-05,0.116715282536152
-159530.201342282,520.426174496644,13677.3182854673,74.6075111998853,-159503.920346137,4623747805.62342,2.33569524965452e-05,0.120133194306138
-159530.201342282,528.812080536913,13683.0397198425,74.6101573098994,-159504.326290966,4703605497.41674,2.4010585946159e-05,0.123458705626019
-159530.201342282,537.197986577181,13688.5884241519,74.6127226741279,-159504.719883367,4738771727.24235,2.46746125751287e-05,0.126680419345183
-159530.201342282,545.58389261745,13693.9721052986,74.615210933682,-159505.101678801,4727857759.70056,2.53492721478666e-05,0.129787422450068
-159530.201342282,553.969798657718,13699.1980183479,74.6176255139519,-159505.472199914,4670739465.04217,2.60348500306716e-05,0.132769361157036
-159530.201342282,562.355704697987,13704.2729991676,74.6199696403534,-159505.831938923,4568592003.63041,2.67316785984514e-05,0.13561651178624
-159530.201342282,570.741610738255,13709.2034942778,74.622246352713,-159506.181359795,4423865565.32653,2.74401385879274e-05,0.138319846845638
-159530.201342282,579.127516778523,13713.9955881836,74.6244585184294,-159506.520900253,4240201425.78308,2.81606604057984e-05,0.140871095803995
-159530.201342282,587.513422818792,13718.6550284393,74.6266088445301,-159506.8509736,4022291424.84133,2.88937254012805e-05,0.143262800085729
-159530.201342282,595.89932885906,13723.187248659,74.6286998887317,-159507.1719704,3775687771.03734,2.96398671133726e-05,0.145488361878211
-159530.201342282,604.285234899329,13727.5973896616,74.6307340695939,-159507.484260022,3506573506.49646,3.03996725041129e-05,0.147542086403023
-159530.201342282,612.671140939597,13731.8903189382,74.6327136758599,-159507.788192059,3221506718.64717,3.11737831900063e-05,0.14941921736581
-159530.201342282,621.057046979866,13736.0706485753,74.6346408750506,-159508.084097634,2927153398.01584,3.19628966846971e-05,0.151115965364445
-159530.201342282,629.442953020134,13740.1427517975,74.6365177213879,-159508.3722906,2630024532.45304,3.27677676668596e-05,0.152629529101044
-159530.201342282,637.828859060403,13744.1107782293,74.6383461631018,-159508.653068662,2336232517.81616,3.35892092881636e-05,0.153958109309831
-159530.201342282,646.214765100671,13747.9786680122,74.6401280491818,-159508.926714387,2051280288.70103,3.44280945370593e-05,0.155100915378667
-159530.201342282,654.60067114094,13751.7501648558,74.6418651356158,-159509.193496169,1779893880.78325,3.52853576750109e-05,0.156058164707157
-159530.201342282,662.986577181208,13755.4288281333,74.6435590911672,-159509.453669099,1525905679.83526,3.61619957626976e-05,0.156831074907461
-159530.201342282,671.372483221477,13759.0180440871,74.6452115027234,-159509.70747578,1292191717.13633,3.70590702945953e-05,0.157421849015103
-159530.201342282,679.758389261745,13762.5210362311,74.646823880258,-159509.955147085,1080662400.53895,3.7977708961258e-05,0.15783365393531
-159530.201342282,688.144295302013,13765.9408750127,74.648397661436,-159510.196902851,892302386.201619,3.89191075595398e-05,0.158070592405355
-159530.201342282,696.530201342282,13769.2804867892,74.6499342158899,-159510.432952541,727252216.33557,3.9884532071931e-05,0.158137668804585
-159530.201342282,704.91610738255,13772.5426621841,74.6514348491985,-159510.663495837,584922114.472367,4.08753209371471e-05,0.158040749190611
-159530.201342282,713.302013422819,13775.7300638678,74.6529008065884,-159510.888723216,464127081.957565,4.18928875350925e-05,0.15778651598253
-159530.201342282,721.687919463087,13778.8452338075,74.6543332763814,-159511.108816465,363232206.456049,4.29387229103373e-05,0.157382417749377
-159530.201342282,730.073825503356,13781.8906000323,74.6557333932095,-159511.323949177,280297796.866942,4.40143987593011e-05,0.156836614594212
-159530.201342282,738.459731543624,13784.8684829451,74.6571022410129,-159511.534287202,213215430.965489,4.51215707074284e-05,0.156157919651088
-159530.201342282,746.845637583893,13787.781101223,74.6584408558406,-159511.739989081,159828011.662038,4.62619819037768e-05,0.155355737233455
-159530.201342282,755.231543624161,13790.6305773285,74.6597502284655,-159511.941206442,118029214.950384,4.74374669616267e-05,0.154439998188362
-159530.201342282,763.61744966443,13793.418942674,74.6610313068331,-159512.138084366,85840021.5333474,4.8649956274963e-05,0.153421093020916
-159530.201342282,772.003355704698,13796.1481424489,74.6622849983492,-159512.330761746,61462132.4643528,4.99014807419766e-05,0.152309803358211
