u,rho,P,T,h,gamma,mu,k
141744.966442953,600,126270887.336039,322.641816445838,352196.445336352,4.08236319620137,5.75127909777959e-05,0.0948722794127188
141744.966442953,605.5,129838610.106474,323.47597417686,356177.022770739,4.10970499327993,5.84494555198201e-05,0.0964359831703742
141744.966442953,611,133496860.771629,324.296505506516,360234.100275406,4.13673582310349,5.94058810496179e-05,0.0980290950871935
141744.966442953,616.5,137247426.187521,325.103087006608,364368.528790918,4.16345211941829,6.03828049500046e-05,0.0996518125625739
141744.966442953,622,141092107.846945,325.895394335685,368581.15269206,4.18985070081152,6.1380996326956e-05,0.10130431077496
141744.966442953,627.5,145032721.510645,326.673102473768,372872.809487806,4.21592876227232,6.24012563142718e-05,0.10298674307173
141744.966442953,633,149071096.832551,327.435885955681,377244.329527551,4.24168386635502,6.34444183820338e-05,0.104699241437301
141744.966442953,638.5,153209076.979439,328.183419102851,381696.535713806,4.26711393405081,6.45113486515327e-05,0.106441917033159
141744.966442953,644,157448518.245455,328.915376253354,386230.24322161,4.29221723542758,6.56029462188198e-05,0.108214860803338
141744.966442953,649.5,161791289.66191,329.631431990054,390846.259224954,4.31699238006559,6.67201434885611e-05,0.110018144138732
141744.966442953,655,166239272.602771,330.331261366608,395545.38263039,4.34143830729688,6.78639065194164e-05,0.111851819593565
141744.966442953,660.5,170794360.386214,331.014540131144,400328.403817994,4.36555427624702,6.90352353817637e-05,0.113715921647317
141744.966442953,666,175458457.872518,331.6809449474,405196.104389676,4.38933985567535,7.02351645282254e-05,0.115610467505456
141744.966442953,671.5,180233481.058551,332.330153613114,410149.256924786,4.41279491361285,7.1464763177139e-05,0.117535457932398
141744.966442953,677,185121356.669013,332.961845275464,415188.624742825,4.43591960680241,7.27251357088504e-05,0.11953304003701
141744.966442953,682.5,190124021.744503,333.575700643351,420314.961672994,4.45871436995276,7.40174220744854e-05,0.121535871074663
