T_K,P_Pa,state,is_boiling
298,2137374.76088208,liquid,0
298,2206322.33381376,liquid,0
298,2275269.90674544,liquid,0
298,2344217.47967712,liquid,0
298,2413165.0526088,liquid,0
298,2482112.62554048,liquid,0
298,2551060.19847216,liquid,0
298,2620007.77140384,liquid,0
298,2688955.34433552,liquid,0
298,2757902.9172672,liquid,0
298,2826850.49019888,liquid,0
298,2895798.06313056,liquid,0
298,2964745.63606224,liquid,0
298,3033693.20899392,liquid,0
298,3102640.7819256,liquid,0
298,3171588.35485728,liquid,0
298,3240535.92778896,liquid,0
298,3309483.50072064,liquid,0
298,3378431.07365232,liquid,0
298,3447378.646584,liquid,0
300,1723689.323292,liquid,0
300,1792636.89622368,liquid,0
300,1861584.46915536,liquid,0
300,1930532.04208704,liquid,0
300,1999479.61501872,liquid,0
300,2068427.1879504,liquid,0
300,2137374.76088208,liquid,0
300,2206322.33381376,liquid,0
300,2275269.90674544,liquid,0
300,2344217.47967712,liquid,0
300,2413165.0526088,liquid,0
300,2482112.62554048,liquid,0
300,2551060.19847216,liquid,0
300,2620007.77140384,liquid,0
300,2688955.34433552,liquid,0
300,2757902.9172672,liquid,0
300,2826850.49019888,liquid,0
300,2895798.06313056,liquid,0
300,2964745.63606224,liquid,0
300,3033693.20899392,liquid,0
300,3102640.7819256,liquid,0
300,3171588.35485728,liquid,0
300,3240535.92778896,liquid,0
300,3309483.50072064,liquid,0
300,3378431.07365232,liquid,0
300,3447378.646584,liquid,0
302,1723689.323292,liquid,0
302,1792636.89622368,liquid,0
302,1861584.46915536,liquid,0
302,1930532.04208704,liquid,0
302,1999479.61501872,liquid,0
302,2068427.1879504,liquid,0
302,2137374.76088208,liquid,0
302,2206322.33381376,liquid,0
302,2275269.90674544,liquid,0
302,2344217.47967712,liquid,0
302,2413165.0526088,liquid,0
302,2482112.62554048,liquid,0
302,2551060.19847216,liquid,0
302,2620007.77140384,liquid,0
302,2688955.34433552,liquid,0
302,2757902.9172672,liquid,0
302,2826850.49019888,liquid,0
302,2895798.06313056,liquid,0
302,2964745.63606224,liquid,0
302,3033693.20899392,liquid,0
302,3102640.7819256,liquid,0
302,3171588.35485728,liquid,0
302,3240535.92778896,liquid,0
302,3309483.50072064,liquid,0
302,3378431.07365232,liquid,0
302,3447378.646584,liquid,0
304,1723689.323292,liquid,0
304,1792636.89622368,liquid,0
304,1861584.46915536,liquid,0
304,1930532.04208704,liquid,0
304,1999479.61501872,liquid,0
304,2068427.1879504,liquid,0
304,2137374.76088208,liquid,0
304,2206322.33381376,liquid,0
304,2275269.90674544,liquid,0
304,2344217.47967712,liquid,0
304,2413165.0526088,liquid,0
304,2482112.62554048,liquid,0
304,2551060.19847216,liquid,0
304,2620007.77140384,liquid,0
304,2688955.34433552,liquid,0
304,2757902.9172672,liquid,0
304,2826850.49019888,liquid,0
304,2895798.06313056,liquid,0
304,2964745.63606224,liquid,0
304,3033693.20899392,liquid,0
304,3102640.7819256,liquid,0
304,3171588.35485728,liquid,0
304,3240535.92778896,liquid,0
304,3309483.50072064,liquid,0
304,3378431.07365232,liquid,0
304,3447378.646584,liquid,0
306,1723689.323292,liquid,0
306,1792636.89622368,liquid,0
306,1861584.46915536,liquid,0
306,1930532.04208704,liquid,0
306,1999479.61501872,liquid,0
306,2068427.1879504,liquid,0
306,2137374.76088208,liquid,0
306,2206322.33381376,liquid,0
306,2275269.90674544,liquid,0
306,2344217.47967712,liquid,0
306,2413165.0526088,liquid,0
306,2482112.62554048,liquid,0
306,2551060.19847216,liquid,0
306,2620007.77140384,liquid,0
306,2688955.34433552,liquid,0
306,2757902.9172672,liquid,0
306,2826850.49019888,liquid,0
306,2895798.06313056,liquid,0
306,2964745.63606224,liquid,0
306,3033693.20899392,liquid,0
306,3102640.7819256,liquid,0
306,3171588.35485728,liquid,0
306,3240535.92778896,liquid,0
306,3309483.50072064,liquid,0
306,3378431.07365232,liquid,0
306,3447378.646584,liquid,0
308,1723689.323292,liquid,0
308,1792636.89622368,liquid,0
308,1861584.46915536,liquid,0
308,1930532.04208704,liquid,0
308,1999479.61501872,liquid,0
308,2068427.1879504,liquid,0
308,2137374.76088208,liquid,0
308,2206322.33381376,liquid,0
308,2275269.90674544,liquid,0
308,2344217.47967712,liquid,0
308,2413165.0526088,liquid,0
308,2482112.62554048,liquid,0
308,2551060.19847216,liquid,0
308,2620007.77140384,liquid,0
308,2688955.34433552,liquid,0
308,2757902.9172672,liquid,0
308,2826850.49019888,liquid,0
308,2895798.06313056,liquid,0
308,2964745.63606224,liquid,0
308,3033693.20899392,liquid,0
308,3102640.7819256,liquid,0
308,3171588.35485728,liquid,0
308,3240535.92778896,liquid,0
308,3309483.50072064,liquid,0
308,3378431.07365232,liquid,0
308,3447378.646584,liquid,0
310,1723689.323292,liquid,0
310,1792636.89622368,liquid,0
310,1861584.46915536,liquid,0
310,1930532.04208704,liquid,0
310,1999479.61501872,liquid,0
310,2068427.1879504,liquid,0
310,2137374.76088208,liquid,0
310,2206322.33381376,liquid,0
310,2275269.90674544,liquid,0
310,2344217.47967712,liquid,0
310,2413165.0526088,liquid,0
310,2482112.62554048,liquid,0
310,2551060.19847216,liquid,0
310,2620007.77140384,liquid,0
310,2688955.34433552,liquid,0
310,2757902.9172672,liquid,0
310,2826850.49019888,liquid,0
310,2895798.06313056,liquid,0
310,2964745.63606224,liquid,0
310,3033693.20899392,liquid,0
310,3102640.7819256,liquid,0
310,3171588.35485728,liquid,0
310,3240535.92778896,liquid,0
310,3309483.50072064,liquid,0
310,3378431.07365232,liquid,0
310,3447378.646584,liquid,0
312,1723689.323292,liquid,0
312,1792636.89622368,liquid,0
312,1861584.46915536,liquid,0
312,1930532.04208704,liquid,0
312,1999479.61501872,liquid,0
312,2068427.1879504,liquid,0
312,2137374.76088208,liquid,0
312,2206322.33381376,liquid,0
312,2275269.90674544,liquid,0
