T_K,P_Pa,rho_kg_m3
298,3378431.07365232,784.181735261101
298,3447378.646584,784.224142254593
300,1723689.323292,781.523271761838
300,1792636.89622368,781.607502088312
300,1861584.46915536,781.691732414786
300,1930532.04208704,781.775962741259
300,1999479.61501872,781.860193067733
300,2068427.1879504,781.902691506652
300,2137374.76088208,781.944872576874
300,2206322.33381376,781.987053647096
300,2275269.90674544,782.029234717317
300,2344217.47967712,782.071415787539
300,2413165.0526088,782.113596857761
300,2482112.62554048,782.155777927982
300,2551060.19847216,782.197958998204
300,2620007.77140384,782.240140068426
300,2688955.34433552,782.282321138648
300,2757902.9172672,782.324502208869
300,2826850.49019888,782.366683279091
300,2895798.06313056,782.408864349313
300,2964745.63606224,782.451045419535
300,3033693.20899392,782.49325877122
300,3102640.7819256,782.535505900111
300,3171588.35485728,782.577753029003
300,3240535.92778896,782.620000157894
300,3309483.50072064,782.662247286785
300,3378431.07365232,782.704494415677
300,3447378.646584,782.746741544568
302,1723689.323292,779.822396274724
302,1792636.89622368,779.906260952913
302,1861584.46915536,779.990125631102
302,1930532.04208704,780.073990309291
302,1999479.61501872,780.15785498748
302,2068427.1879504,780.216757809328
302,2137374.76088208,780.275470797639
302,2206322.33381376,780.33418378595
302,2275269.90674544,780.392896774261
302,2344217.47967712,780.451609762572
302,2413165.0526088,780.510322750883
302,2482112.62554048,780.569035739194
302,2551060.19847216,780.627748727505
302,2620007.77140384,780.686461715816
302,2688955.34433552,780.745174704127
302,2757902.9172672,780.803887692438
302,2826850.49019888,780.862600680749
302,2895798.06313056,780.92131366906
302,2964745.63606224,780.980026657371
302,3033693.20899392,781.038809946562
302,3102640.7819256,781.097666793984
302,3171588.35485728,781.156523641406
302,3240535.92778896,781.215380488828
302,3309483.50072064,781.27423733625
302,3378431.07365232,781.333094183671
302,3447378.646584,781.391951031093
304,1723689.323292,778.12152078761
304,1792636.89622368,778.205019817514
304,1861584.46915536,778.288518847418
304,1930532.04208704,778.372017877323
304,1999479.61501872,778.455516907227
304,2068427.1879504,778.530824112005
304,2137374.76088208,778.606069018405
304,2206322.33381376,778.681313924805
304,2275269.90674544,778.756558831205
304,2344217.47967712,778.831803737605
304,2413165.0526088,778.907048644005
304,2482112.62554048,778.982293550405
304,2551060.19847216,779.057538456806
304,2620007.77140384,779.132783363206
304,2688955.34433552,779.208028269606
304,2757902.9172672,779.283273176006
304,2826850.49019888,779.358518082406
304,2895798.06313056,779.433762988806
304,2964745.63606224,779.509007895207
304,3033693.20899392,779.584361121904
304,3102640.7819256,779.659827687857
304,3171588.35485728,779.735294253809
304,3240535.92778896,779.810760819761
304,3309483.50072064,779.886227385714
304,3378431.07365232,779.961693951666
