T_K,P_Pa,boiling_T_K
296,3033693.20899392,482.212603799889
296,3102640.7819256,483.466196035011
296,3171588.35485728,484.719788270132
296,3240535.92778896,485.907388606593
296,3309483.50072064,487.075991537638
296,3378431.07365232,488.244594468683
296,3447378.646584,489.413197399729
298,1723689.323292,453.024980991348
298,1792636.89622368,454.961710568081
298,1861584.46915536,456.750892983299
298,1930532.04208704,458.537099535934
298,1999479.61501872,460.301439976298
298,2068427.1879504,461.966840288657
298,2137374.76088208,463.632240601016
298,2206322.33381376,465.276285511519
298,2275269.90674544,466.822195218508
298,2344217.47967712,468.368104925496
298,2413165.0526088,469.914014632484
298,2482112.62554048,471.362188818838
298,2551060.19847216,472.804606662597
298,2620007.77140384,474.247024506356
298,2688955.34433552,475.643659069053
298,2757902.9172672,476.990291352875
298,2826850.49019888,478.336923636697
298,2895798.06313056,479.683555920519
298,2964745.63606224,480.959011564768
298,3033693.20899392,482.212603799889
298,3102640.7819256,483.466196035011
298,3171588.35485728,484.719788270132
298,3240535.92778896,485.907388606593
298,3309483.50072064,487.075991537638
298,3378431.07365232,488.244594468683
298,3447378.646584,489.413197399729
300,1723689.323292,453.024980991348
300,1792636.89622368,454.961710568081
300,1861584.46915536,456.750892983299
300,1930532.04208704,458.537099535934
300,1999479.61501872,460.301439976298
300,2068427.1879504,461.966840288657
300,2137374.76088208,463.632240601016
300,2206322.33381376,465.276285511519
300,2275269.90674544,466.822195218508
300,2344217.47967712,468.368104925496
300,2413165.0526088,469.914014632484
300,2482112.62554048,471.362188818838
300,2551060.19847216,472.804606662597
300,2620007.77140384,474.247024506356
300,2688955.34433552,475.643659069053
300,2757902.9172672,476.990291352875
300,2826850.49019888,478.336923636697
300,2895798.06313056,479.683555920519
300,2964745.63606224,480.959011564768
300,3033693.20899392,482.212603799889
300,3102640.7819256,483.466196035011
300,3171588.35485728,484.719788270132
300,3240535.92778896,485.907388606593
300,3309483.50072064,487.075991537638
300,3378431.07365232,488.244594468683
300,3447378.646584,489.413197399729
302,1723689.323292,453.024980991348
302,1792636.89622368,454.961710568081
302,1861584.46915536,456.750892983299
302,1930532.04208704,458.537099535934
302,1999479.61501872,460.301439976298
302,2068427.1879504,461.966840288657
302,2137374.76088208,463.632240601016
302,2206322.33381376,465.276285511519
302,2275269.90674544,466.822195218508
302,2344217.47967712,468.368104925496
302,2413165.0526088,469.914014632484
302,2482112.62554048,471.362188818838
302,2551060.19847216,472.804606662597
302,2620007.77140384,474.247024506356
302,2688955.34433552,475.643659069053
302,2757902.9172672,476.990291352875
302,2826850.49019888,478.336923636697
302,2895798.06313056,479.683555920519
302,2964745.63606224,480.959011564768
302,3033693.20899392,482.212603799889
302,3102640.7819256,483.466196035011
302,3171588.35485728,484.719788270132
302,3240535.92778896,485.907388606593
302,3309483.50072064,487.075991537638
302,3378431.07365232,488.244594468683
302,3447378.646584,489.413197399729
304,1723689.323292,453.024980991348
304,1792636.89622368,454.961710568081
304,1861584.46915536,456.750892983299
304,1930532.04208704,458.537099535934
304,1999479.61501872,460.301439976298
304,2068427.1879504,461.966840288657
304,2137374.76088208,463.632240601016
304,2206322.33381376,465.276285511519
304,2275269.90674544,466.822195218508
304,2344217.47967712,468.368104925496
304,2413165.0526088,469.914014632484
304,2482112.62554048,471.362188818838
304,2551060.19847216,472.804606662597
304,2620007.77140384,474.247024506356
304,2688955.34433552,475.643659069053
304,2757902.9172672,476.990291352875
304,2826850.49019888,478.336923636697
304,2895798.06313056,479.683555920519
304,2964745.63606224,480.959011564768
304,3033693.20899392,482.212603799889
304,3102640.7819256,483.466196035011
304,3171588.35485728,484.719788270132
304,3240535.92778896,485.907388606593
304,3309483.50072064,487.075991537638
304,3378431.07365232,488.244594468683
304,3447378.646584,489.413197399729
306,1723689.323292,453.024980991348
306,1792636.89622368,454.961710568081
306,1861584.46915536,456.750892983299
306,1930532.04208704,458.537099535934
306,1999479.61501872,460.301439976298
306,2068427.1879504,461.966840288657
306,2137374.76088208,463.632240601016
306,2206322.33381376,465.276285511519
306,2275269.90674544,466.822195218508
306,2344217.47967712,468.368104925496
306,2413165.0526088,469.914014632484
306,2482112.62554048,471.362188818838
306,2551060.19847216,472.804606662597
306,2620007.77140384,474.247024506356
306,2688955.34433552,475.643659069053
306,2757902.9172672,476.990291352875
306,2826850.49019888,478.336923636697
306,2895798.06313056,479.683555920519
306,2964745.63606224,480.959011564768
306,3033693.20899392,482.212603799889
306,3102640.7819256,483.466196035011
306,3171588.35485728,484.719788270132
306,3240535.92778896,485.907388606593
306,3309483.50072064,487.075991537638
306,3378431.07365232,488.244594468683
306,3447378.646584,489.413197399729
308,1723689.323292,453.024980991348
308,1792636.89622368,454.961710568081
308,1861584.46915536,456.750892983299
308,1930532.04208704,458.537099535934
308,1999479.61501872,460.301439976298
308,2068427.1879504,461.966840288657
308,2137374.76088208,463.632240601016
308,2206322.33381376,465.276285511519
308,2275269.90674544,466.822195218508
308,2344217.47967712,468.368104925496
308,2413165.0526088,469.914014632484
308,2482112.62554048,471.362188818838
308,2551060.19847216,472.804606662597
308,2620007.77140384,474.247024506356
308,2688955.34433552,475.643659069053
308,2757902.9172672,476.990291352875
308,2826850.49019888,478.336923636697
308,2895798.06313056,479.683555920519
308,2964745.63606224,480.959011564768
308,3033693.20899392,482.212603799889
308,3102640.7819256,483.466196035011
308,3171588.35485728,484.719788270132
308,3240535.92778896,485.907388606593
308,3309483.50072064,487.075991537638
308,3378431.07365232,488.244594468683
308,3447378.646584,489.413197399729
310,1723689.323292,453.024980991348
310,1792636.89622368,454.961710568081
310,1861584.46915536,456.750892983299
310,1930532.04208704,458.537099535934
310,1999479.61501872,460.301439976298
310,2068427.1879504,461.966840288657
310,2137374.76088208,463.632240601016
310,2206322.33381376,465.276285511519
310,2275269.90674544,466.822195218508
310,2344217.47967712,468.368104925496
310,2413165.0526088,469.914014632484
310,2482112.62554048,471.362188818838
310,2551060.19847216,472.804606662597
310,2620007.77140384,474.247024506356
310,2688955.34433552,475.643659069053
310,2757902.9172672,476.990291352875
310,2826850.49019888,478.336923636697
310,2895798.06313056,479.683555920519
310,2964745.63606224,480.959011564768
310,3033693.20899392,482.212603799889
310,3102640.7819256,483.466196035011
310,3171588.35485728,484.719788270132
310,3240535.92778896,485.907388606593
310,3309483.50072064,487.075991537638
310,3378431.07365232,488.244594468683
