T_K,P_Pa,k_W_m_K
284,1930532.04208704,0.138574541697447
284,1999479.61501872,0.138602605411288
284,2068427.1879504,0.138630669125129
284,2137374.76088208,0.13865873283897
284,2206322.33381376,0.138686796552811
284,2275269.90674544,0.138714860266653
284,2344217.47967712,0.138742923980494
284,2413165.0526088,0.138770987694335
284,2482112.62554048,0.138799051408176
284,2551060.19847216,0.138827115122017
284,2620007.77140384,0.138855178835859
284,2688955.34433552,0.1388832425497
284,2757902.9172672,0.138911306263541
284,2826850.49019888,0.138939369977382
284,2895798.06313056,0.138967433691223
284,2964745.63606224,0.138995497405064
284,3033693.20899392,0.139023561118906
284,3102640.7819256,0.139051624832747
284,3171588.35485728,0.139079688546588
284,3240535.92778896,0.139107752260429
284,3309483.50072064,0.13913581597427
284,3378431.07365232,0.139163879688111
284,3447378.646584,0.139191943401953
286,1723689.323292,0.138088434135533
286,1792636.89622368,0.138116416404946
286,1861584.46915536,0.138144398674359
286,1930532.04208704,0.138172380943772
286,1999479.61501872,0.138200363213185
286,2068427.1879504,0.138228345482598
286,2137374.76088208,0.138256327752011
286,2206322.33381376,0.138284310021424
286,2275269.90674544,0.138312292290837
286,2344217.47967712,0.13834027456025
286,2413165.0526088,0.138368256829663
286,2482112.62554048,0.138396239099076
286,2551060.19847216,0.138424221368489
286,2620007.77140384,0.138452203637902
286,2688955.34433552,0.138480185907315
286,2757902.9172672,0.138508168176728
286,2826850.49019888,0.138536150446141
286,2895798.06313056,0.138564132715554
286,2964745.63606224,0.138592114984967
286,3033693.20899392,0.13862009725438
286,3102640.7819256,0.138648079523793
286,3171588.35485728,0.138676061793206
286,3240535.92778896,0.138704044062619
286,3309483.50072064,0.138732026332032
286,3378431.07365232,0.138760008601445
286,3447378.646584,0.138787990870858
288,1723689.323292,0.137686517715143
288,1792636.89622368,0.137714418540128
288,1861584.46915536,0.137742319365113
288,1930532.04208704,0.137770220190097
288,1999479.61501872,0.137798121015082
288,2068427.1879504,0.137826021840067
288,2137374.76088208,0.137853922665052
288,2206322.33381376,0.137881823490037
288,2275269.90674544,0.137909724315021
288,2344217.47967712,0.137937625140006
288,2413165.0526088,0.137965525964991
288,2482112.62554048,0.137993426789976
288,2551060.19847216,0.138021327614961
288,2620007.77140384,0.138049228439945
288,2688955.34433552,0.13807712926493
288,2757902.9172672,0.138105030089915
288,2826850.49019888,0.1381329309149
288,2895798.06313056,0.138160831739885
288,2964745.63606224,0.13818873256487
288,3033693.20899392,0.138216633389854
288,3102640.7819256,0.138244534214839
288,3171588.35485728,0.138272435039824
288,3240535.92778896,0.138300335864809
288,3309483.50072064,0.138328236689794
288,3378431.07365232,0.138356137514778
288,3447378.646584,0.138384038339763
290,1723689.323292,0.137284601294753
290,1792636.89622368,0.13731242067531
290,1861584.46915536,0.137340240055866
290,1930532.04208704,0.137368059436423
290,1999479.61501872,0.137395878816979
290,2068427.1879504,0.137423698197536
290,2137374.76088208,0.137451517578093
290,2206322.33381376,0.137479336958649
290,2275269.90674544,0.137507156339206
290,2344217.47967712,0.137534975719763
290,2413165.0526088,0.137562795100319
290,2482112.62554048,0.137590614480876
290,2551060.19847216,0.137618433861432
290,2620007.77140384,0.137646253241989
290,2688955.34433552,0.137674072622546
290,2757902.9172672,0.137701892003102
290,2826850.49019888,0.137729711383659
290,2895798.06313056,0.137757530764216
290,2964745.63606224,0.137785350144772
290,3033693.20899392,0.137813169525329
290,3102640.7819256,0.137840988905885
