T_K,P_Pa,mu_Pa_s
288,3240535.92778896,0.00286270758853435
288,3309483.50072064,0.0028637849550366
288,3378431.07365232,0.00286486272700066
288,3447378.646584,0.00286594090457911
290,1723689.323292,0.0026689488258644
290,1792636.89622368,0.00266995327216997
290,1861584.46915536,0.00267095809649416
290,1930532.04208704,0.00267196329897925
290,1999479.61501872,0.00267296887976755
290,2068427.1879504,0.00267397483900145
290,2137374.76088208,0.00267498117682335
290,2206322.33381376,0.00267598789337575
290,2275269.90674544,0.00267699498880118
290,2344217.47967712,0.00267800246324222
290,2413165.0526088,0.00267901031684152
290,2482112.62554048,0.00268001854974177
290,2551060.19847216,0.00268102716208572
290,2620007.77140384,0.00268203615401616
290,2688955.34433552,0.00268304552567596
290,2757902.9172672,0.00268405527720803
290,2826850.49019888,0.00268506540875532
290,2895798.06313056,0.00268607592046086
290,2964745.63606224,0.00268708681246771
290,3033693.20899392,0.00268809808491901
290,3102640.7819256,0.00268910973795792
290,3171588.35485728,0.00269012177172768
290,3240535.92778896,0.00269113418637158
290,3309483.50072064,0.00269214698203296
290,3378431.07365232,0.00269316015885521
290,3447378.646584,0.00269417371698177
292,1723689.323292,0.00251036093476972
292,1792636.89622368,0.00251130569727027
292,1861584.46915536,0.00251225081532773
292,1930532.04208704,0.00251319628907591
292,1999479.61501872,0.00251414211864869
292,2068427.1879504,0.00251508830417996
292,2137374.76088208,0.00251603484580369
292,2206322.33381376,0.0025169817436539
292,2275269.90674544,0.00251792899786465
292,2344217.47967712,0.00251887660857006
292,2413165.0526088,0.00251982457590429
292,2482112.62554048,0.00252077290000155
292,2551060.19847216,0.00252172158099612
292,2620007.77140384,0.0025226706190223
292,2688955.34433552,0.00252362001421448
292,2757902.9172672,0.00252456976670705
292,2826850.49019888,0.0025255198766345
292,2895798.06313056,0.00252647034413134
292,2964745.63606224,0.00252742116933214
292,3033693.20899392,0.00252837235237152
292,3102640.7819256,0.00252932389338415
292,3171588.35485728,0.00253027579250475
292,3240535.92778896,0.0025312280498681
292,3309483.50072064,0.00253218066560902
292,3378431.07365232,0.00253313363986238
292,3447378.646584,0.00253408697276311
294,1723689.323292,0.00236169983343293
294,1792636.89622368,0.00236258864802898
294,1861584.46915536,0.00236347779712622
294,1930532.04208704,0.00236436728085052
294,1999479.61501872,0.00236525709932783
294,2068427.1879504,0.00236614725268412
294,2137374.76088208,0.00236703774104544
294,2206322.33381376,0.00236792856453785
294,2275269.90674544,0.00236881972328748
294,2344217.47967712,0.0023697112174205
294,2413165.0526088,0.00237060304706314
294,2482112.62554048,0.00237149521234166
294,2551060.19847216,0.00237238771338237
294,2620007.77140384,0.00237328055031164
294,2688955.34433552,0.00237417372325588
294,2757902.9172672,0.00237506723234155
294,2826850.49019888,0.00237596107769514
294,2895798.06313056,0.00237685525944322
294,2964745.63606224,0.00237774977771239
294,3033693.20899392,0.00237864463262929
294,3102640.7819256,0.00237953982432062
294,3171588.35485728,0.00238043535291311
294,3240535.92778896,0.00238133121853358
294,3309483.50072064,0.00238222742130884
294,3378431.07365232,0.00238312396136579
294,3447378.646584,0.00238402083883137
296,1723689.323292,0.00222297718066021
296,1792636.89622368,0.00222381378764002
296,1861584.46915536,0.00222465070947292
296,1930532.04208704,0.0022254879462774
296,1999479.61501872,0.00222632549817201
296,2068427.1879504,0.00222716336527532
296,2137374.76088208,0.00222800154770597
296,2206322.33381376,0.00222884004558262
296,2275269.90674544,0.00222967885902399
296,2344217.47967712,0.00223051798814885
296,2413165.0526088,0.002231357433076
296,2482112.62554048,0.00223219719392428
296,2551060.19847216,0.0022330372708126
296,2620007.77140384,0.0022338776638599
296,2688955.34433552,0.00223471837318516
296,2757902.9172672,0.00223555939890741
296,2826850.49019888,0.00223640074114572
296,2895798.06313056,0.00223724240001922
296,2964745.63606224,0.00223808437564707
296,3033693.20899392,0.00223892666814847
296,3102640.7819256,0.00223976927764269
296,3171588.35485728,0.00224061220424901
296,3240535.92778896,0.00224145544808679
296,3309483.50072064,0.00224229900927541
296,3378431.07365232,0.00224314288793431
296,3447378.646584,0.00224398708418296
298,1723689.323292,0.00209311677686742
298,1792636.89622368,0.0020939045114966
298,1861584.46915536,0.00209469254258599
298,1930532.04208704,0.00209548087024716
298,1999479.61501872,0.00209626949459174
298,2068427.1879504,0.00209705841573136
298,2137374.76088208,0.00209784763377774
298,2206322.33381376,0.00209863714884261
298,2275269.90674544,0.00209942696103775
298,2344217.47967712,0.00210021707047498
298,2413165.0526088,0.00210100747726618
298,2482112.62554048,0.00210179818152324
298,2551060.19847216,0.00210258918335813
298,2620007.77140384,0.00210338048288282
298,2688955.34433552,0.00210417208020936
298,2757902.9172672,0.00210496397544982
298,2826850.49019888,0.00210575616871632
298,2895798.06313056,0.00210654866012102
298,2964745.63606224,0.00210734144977612
298,3033693.20899392,0.00210813453779387
298,3102640.7819256,0.00210892792428656
298,3171588.35485728,0.00210972160936651
298,3240535.92778896,0.00211051559314611
298,3309483.50072064,0.00211130987573775
298,3378431.07365232,0.0021121044572539
298,3447378.646584,0.00211289933780705
300,1723689.323292,0.00197148285098363
300,1792636.89622368,0.00197222480925835
300,1861584.46915536,0.00197296704676556
300,1930532.04208704,0.00197370956361037
300,1999479.61501872,0.00197445235989788
300,2068427.1879504,0.00197519543573328
300,2137374.76088208,0.00197593879122176
300,2206322.33381376,0.00197668242646858
300,2275269.90674544,0.00197742634157901
300,2344217.47967712,0.00197817053665839
300,2413165.0526088,0.00197891501181208
300,2482112.62554048,0.00197965976714548
300,2551060.19847216,0.00198040480276404
300,2620007.77140384,0.00198115011877324
300,2688955.34433552,0.0019818957152786
300,2757902.9172672,0.0019826415923857
300,2826850.49019888,0.00198338775020013
300,2895798.06313056,0.00198413418882753
300,2964745.63606224,0.00198488090837359
300,3033693.20899392,0.00198562790894403
300,3102640.7819256,0.00198637519064461
300,3171588.35485728,0.00198712275358114
300,3240535.92778896,0.00198787059785945
300,3309483.50072064,0.00198861872358543
300,3378431.07365232,0.001989367130865
300,3447378.646584,0.00199011581980412
302,1723689.323292,0.00185783464100313
302,1792636.89622368,0.00185853382830991
302,1861584.46915536,0.00185923327875254
302,1930532.04208704,0.00185993299243005
302,1999479.61501872,0.0018606329694415
302,2068427.1879504,0.00186133320988599
302,2137374.76088208,0.00186203371386268
302,2206322.33381376,0.00186273448147073
302,2275269.90674544,0.00186343551280937
302,2344217.47967712,0.00186413680797785
302,2413165.0526088,0.00186483836707546
302,2482112.62554048,0.00186554019020153
302,2551060.19847216,0.00186624227745542
302,2620007.77140384,0.00186694462893654
302,2688955.34433552,0.00186764724474432
302,2757902.9172672,0.00186835012497825
302,2826850.49019888,0.00186905326973785
302,2895798.06313056,0.00186975667912266
302,2964745.63606224,0.00187046035323227
302,3033693.20899392,0.00187116429216632
302,3102640.7819256,0.00187186849602446
