T_K,P_Pa,cp_J_kg_K
298,1723689.323292,2586
298,1792636.89622368,2586
298,1861584.46915536,2586
298,1930532.04208704,2586
298,1999479.61501872,2586
298,2068427.1879504,2585.7262912482
298,2137374.76088208,2585.45050095647
298,2206322.33381376,2585.17471066475
298,2275269.90674544,2584.89892037302
298,2344217.47967712,2584.62313008129
298,2413165.0526088,2584.34733978956
298,2482112.62554048,2584.07154949784
298,2551060.19847216,2583.79575920611
298,2620007.77140384,2583.51996891438
298,2688955.34433552,2583.24417862266
298,2757902.9172672,2582.96838833093
298,2826850.49019888,2582.6925980392
298,2895798.06313056,2582.41680774748
298,2964745.63606224,2582.14101745575
298,3033693.20899392,2582
298,3102640.7819256,2582
298,3171588.35485728,2582
298,3240535.92778896,2582
298,3309483.50072064,2582
298,3378431.07365232,2582
298,3447378.646584,2582
300,1723689.323292,2610
300,1792636.89622368,2610
300,1861584.46915536,2610
300,1930532.04208704,2610
300,1999479.61501872,2610
300,2068427.1879504,2610
300,2137374.76088208,2610
300,2206322.33381376,2610
300,2275269.90674544,2610
300,2344217.47967712,2610
300,2413165.0526088,2610
300,2482112.62554048,2610
300,2551060.19847216,2610
300,2620007.77140384,2610
300,2688955.34433552,2610
300,2757902.9172672,2610
300,2826850.49019888,2610
300,2895798.06313056,2610
300,2964745.63606224,2610
300,3033693.20899392,2610
300,3102640.7819256,2610
300,3171588.35485728,2610
300,3240535.92778896,2610
300,3309483.50072064,2610
300,3378431.07365232,2610
300,3447378.646584,2610
302,1723689.323292,2638
302,1792636.89622368,2638
302,1861584.46915536,2638
302,1930532.04208704,2638
302,1999479.61501872,2638
302,2068427.1879504,2638
302,2137374.76088208,2638
302,2206322.33381376,2638
302,2275269.90674544,2638
302,2344217.47967712,2638
302,2413165.0526088,2638
302,2482112.62554048,2638
302,2551060.19847216,2638
302,2620007.77140384,2638
302,2688955.34433552,2638
302,2757902.9172672,2638
302,2826850.49019888,2638
302,2895798.06313056,2638
302,2964745.63606224,2638
302,3033693.20899392,2638
302,3102640.7819256,2638
302,3171588.35485728,2638
302,3240535.92778896,2638
302,3309483.50072064,2638
302,3378431.07365232,2638
302,3447378.646584,2638
304,1723689.323292,2666
304,1792636.89622368,2666
304,1861584.46915536,2666
304,1930532.04208704,2666
304,1999479.61501872,2666
304,2068427.1879504,2666
304,2137374.76088208,2666
304,2206322.33381376,2666
304,2275269.90674544,2666
304,2344217.47967712,2666
304,2413165.0526088,2666
304,2482112.62554048,2666
304,2551060.19847216,2666
304,2620007.77140384,2666
304,2688955.34433552,2666
304,2757902.9172672,2666
304,2826850.49019888,2666
304,2895798.06313056,2666
304,2964745.63606224,2666
304,3033693.20899392,2666
304,3102640.7819256,2666
304,3171588.35485728,2666
304,3240535.92778896,2666
304,3309483.50072064,2666
304,3378431.07365232,2666
304,3447378.646584,2666
306,1723689.323292,2694
306,1792636.89622368,2694
306,1861584.46915536,2694
306,1930532.04208704,2694
306,1999479.61501872,2694
306,2068427.1879504,2694
306,2137374.76088208,2694
306,2206322.33381376,2694
306,2275269.90674544,2694
306,2344217.47967712,2694
306,2413165.0526088,2694
306,2482112.62554048,2694
306,2551060.19847216,2694
306,2620007.77140384,2694
306,2688955.34433552,2694
306,2757902.9172672,2694
306,2826850.49019888,2694
306,2895798.06313056,2694
306,2964745.63606224,2694
306,3033693.20899392,2694
306,3102640.7819256,2694
306,3171588.35485728,2694
306,3240535.92778896,2694
306,3309483.50072064,2694
306,3378431.07365232,2694
306,3447378.646584,2694
308,1723689.323292,2722
308,1792636.89622368,2722
308,1861584.46915536,2722
308,1930532.04208704,2722
308,1999479.61501872,2722
308,2068427.1879504,2722
308,2137374.76088208,2722
308,2206322.33381376,2722
308,2275269.90674544,2722
308,2344217.47967712,2722
308,2413165.0526088,2722
308,2482112.62554048,2722
308,2551060.19847216,2722
308,2620007.77140384,2722
308,2688955.34433552,2722
308,2757902.9172672,2722
308,2826850.49019888,2722
308,2895798.06313056,2722
308,2964745.63606224,2722
308,3033693.20899392,2722
308,3102640.7819256,2722
308,3171588.35485728,2722
308,3240535.92778896,2722
308,3309483.50072064,2722
308,3378431.07365232,2722
308,3447378.646584,2722
310,1723689.323292,2750
310,1792636.89622368,2750
310,1861584.46915536,2750
310,1930532.04208704,2750
310,1999479.61501872,2750
310,2068427.1879504,2750
310,2137374.76088208,2750
